RHO	SIM_TIME	AVG_WAIT
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.2700760308535081
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.15152176245536134
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.035259043613922694
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.13793608505841423
0.1	5.0	0.0
0.1	5.0	0.35431089240569524
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.19159268447992578
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	5.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0845614069032381
0.1	25.0	0.0
0.1	25.0	0.013111082434632238
0.1	25.0	0.06256596637959227
0.1	25.0	0.0
0.1	25.0	0.04137503857606504
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.197931579717678
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.03178390941457376
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.050331780775538265
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.07466069148610721
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.10448872100019244
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.036776882175056036
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	25.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.005987840706643969
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.013686825615685905
0.1	100.0	0.13078800990093242
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.002826002519708786
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.057016931210860676
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.010331495865649458
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0028700961985069105
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.05576244986742727
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.10643745761603422
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.026788318474224075
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0002538566653806095
0.1	100.0	0.0
0.1	100.0	0.04471911212653592
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.006645814471886654
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.021020470002128516
0.1	100.0	0.02202383405698207
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.07005207540014563
0.1	100.0	0.007516187567427907
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.024295532405655962
0.1	100.0	0.007481716320247172
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.052707929491828766
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.03265256237759847
0.1	100.0	0.0006369491519212881
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.00868391226400206
0.1	100.0	0.1755987905483886
0.1	100.0	0.0
0.1	100.0	0.009872849426920925
0.1	100.0	0.005070010672541514
0.1	100.0	0.0
0.1	100.0	0.00623029473037465
0.1	100.0	0.02162323058259119
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.006860523184910635
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.06194704196563231
0.1	100.0	0.008754014045258338
0.1	100.0	0.03785450554288567
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.03129156451912128
0.1	100.0	0.0
0.1	100.0	0.0433521434519158
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.007991032043785632
0.1	100.0	0.00039590205022147087
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.01410335929779194
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.05942899655648818
0.1	100.0	0.0
0.1	100.0	0.047350568026773066
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0024507156461897562
0.1	100.0	0.013876727504885687
0.1	100.0	0.0
0.1	100.0	0.0018516497155210605
0.1	100.0	0.0
0.1	100.0	0.014638561186944047
0.1	100.0	0.0
0.1	100.0	0.0
0.1	100.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.12360103711510106
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.037559727549887095
0.1	150.0	0.04410983164003884
0.1	150.0	0.0
0.1	150.0	0.0034589174044772865
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.07971693308592756
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.025222211980596043
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.007076832724211432
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.008238073432971877
0.1	150.0	0.009487050416044451
0.1	150.0	0.0
0.1	150.0	0.0008579844950312835
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.01014778451587188
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0049292745033310235
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.06629496108867941
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.012550797143273625
0.1	150.0	0.027607050787854946
0.1	150.0	0.0
0.1	150.0	0.2744534636508348
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0052324998577169875
0.1	150.0	0.008877431714654115
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.07397365470651121
0.1	150.0	0.004251600211103224
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.058044717479605094
0.1	150.0	0.001680027478943726
0.1	150.0	0.05479240374333361
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.008057981536543102
0.1	150.0	0.005564711042365407
0.1	150.0	0.03078381047379821
0.1	150.0	0.0
0.1	150.0	0.0035486394283625795
0.1	150.0	0.015034833547284403
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.01923263476894113
0.1	150.0	0.001934173789210106
0.1	150.0	0.0
0.1	150.0	0.023994547034258015
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0377439631339808
0.1	150.0	0.01815029702918845
0.1	150.0	0.0
0.1	150.0	0.007478033405423427
0.1	150.0	0.017015587599172564
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.05185586184114496
0.1	150.0	0.017159366946768426
0.1	150.0	0.02534136782803041
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0016085936147403356
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.002289365475243293
0.1	150.0	0.005677002568678091
0.1	150.0	0.02914333472902708
0.1	150.0	0.018506248920788202
0.1	150.0	0.030033259417458786
0.1	150.0	0.028009931160714294
0.1	150.0	0.0021740754691847997
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.009160245824085615
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.002439566074722421
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.0
0.1	150.0	0.006701459835712138
0.1	150.0	0.0739377217660777
